codigo,nome,cpf_cnpj,email,telefone
101,DISTRIBUIDORA SAO PEDRO LTDA,12.345.678/0001-90,contato@saopedro.com.br,(11)98765-4321
102,COMERCIO DE ROUPAS ESTRELA ME,23.456.789/0001-01,vendas@estrelaroupas.com.br,(21)99876-5432
103,PADARIA E CONFEITARIA BOA VISTA,34.567.890/0001-12,null,(31)97654-3210
104,AUTO PECAS RAPIDO LTDA,45.678.901/0001-23,compras@autorapido.com.br,(41)98543-2109
105,MATERIAIS DE CONSTRUCAO FORTE SA,56.789.012/0001-34,vendas@construforte.com.br,(51)97432-1098
106,LANCHONETE E PIZZARIA DOM JOSE,67.890.123/0001-45,null,(61)96321-0987
107,FARMACIA SAUDE E VIDA LTDA,78.901.234/0001-56,atendimento@saudevida.com.br,(71)95210-9876
108,ELETRONICA SILVA E SANTOS ME,89.012.345/0001-67,contato@silvasantos.com.br,(81)94109-8765
109,SUPERMERCADO PREÇO BOM LTDA,90.123.456/0001-78,null,(85)93098-7654
110,GRAFICA IMPRESSAO PERFEITA,01.234.567/0001-89,orcamento@impressaoperfeita.com.br,(48)92987-6543
111,POSTO DE COMBUSTIVEL AVENIDA,11.222.333/0001-44,financeiro@postoavenida.com.br,(47)98888-7777
112,OFICINA MECANICA CENTRAL LTDA,22.333.444/0001-55,null,(19)97777-6666
113,SORVETERIA GELATO FELIZ ME,33.444.555/0001-66,pedidos@gelatofeliz.com.br,(27)96666-5555
114,PET SHOP BICHO AMIGO LTDA,44.555.666/0001-77,atendimento@bichoamigo.com.br,(16)95555-4444
115,CLINICA MEDICA BEM ESTAR SA,55.666.777/0001-88,recepcao@clinicabemestar.com.br,(62)94444-3333
116,ACADEMIA FITNESS CORPO FORTE,66.777.888/0001-99,null,(84)93333-2222
117,RESTAURANTE SABOR DA CASA LTDA,77.888.999/0001-00,reservas@sabordacasa.com.br,(92)92222-1111
118,LIVRARIA CULTURA E SABER ME,88.999.000/0001-11,vendas@culturasaber.com.br,(82)91111-0000
119,FLORICULTURA JARDIM ENCANTADO,99.000.111/0001-22,null,(65)90000-9999
120,HOTEL DESCANSO PERFEITO LTDA,10.111.222/0001-33,reservas@descansohotel.com.br,(75)99999-8888
121,LOJA DE CALCADOS PASSO CERTO,21.222.333/0001-44,vendas@passocerto.com.br,(67)98888-7777
122,CONSULTORIO ODONTOLOGICO SORRISO,32.333.444/0001-55,null,(91)97777-6666
123,RELOJOARIA E JOALHERIA TEMPO LTDA,43.444.555/0001-66,contato@tempojoias.com.br,(69)96666-5555
124,LAVANDERIA EXPRESS CLEAN ME,54.555.666/0001-77,atendimento@expressclean.com.br,(79)95555-4444
125,BARBEARIA ESTILO MASCULINO,65.666.777/0001-88,null,(86)94444-3333
